







Establishment Code No.,M,U,M.1,5,7,9,7.1,1
4,Total number of employees whose names,No. of,E E C,E E R,Penel,Total,,
,stood on the establishment registed as,Employees,Contribution,Contribution,Interest,Contriburion,,
,on 31st December 2017,62,744/-,2232/-,0/-,2976/-,,
a.,Manager,,,,,,,
,,0,NIL,NIL,NIL,NIL,,
b.,Employees working in supervisory capacity,,,,,,,
,,,NIL,NIL,NIL,NIL,,
,drawing wages Rs. 2500/- per month,0,,,,,,
c.,Employees drawing wages exceeding Rs. 3000/-,,,,,,,
,Per Month. (EEC@ Rs. 12/- Per Employee &,62,744/-,2232/-,0/-,2976/-,,
,ERC@ Rs.36/- Per Employee,,,,,,,
d.,Employees drawing wages upto & inclusiove of,,,,,,,
,Rs. 3000/- Per Month. (EEC@ Rs. 6/- Per,,,,,,,
,Employee & ERC@ Rs.18/- Per Employee,0,0/-,0/-,0/-,0/-,,
,Total of (a) to (d) above,62,744/-,2232/-,0/-,2976/-,,
,Total Amount of contribution paid,,744/-,2232/-,0/-,2976/-,,
,alongwith this Form A-1-Cum-Return,,,,,,,

